1 活动信息|活
1 系统活动|系
1 狗日的|狗
1 奥巴马|奥
1 热比娅|热
1 习近平|习
1 台湾岛国万岁|台
1 一中一台|一
1 西藏分裂|西
1 西藏国|西
1 新疆分裂|新
1 新疆国|新
1 藏青会|藏
1 藏妇会|藏
1 反共反党|反
1 吸毒|吸
1 赌博|赌
1 走私|私
1 抽头|抽
1 开房|房
1 B博士|博
1 去死|去
1 瘸腿帮|瘸
1 人弹|人
1 人民|人
1 人民日报|人
1 人民银行|人
1 傻比|傻
1 傻子|傻
1 毛泽东|毛
1 周恩来|周
1 马克思|马
1 恩格斯|恩
1 列宁|列
1 赵紫阳|赵
1 胡耀邦|胡
1 刘少奇|刘
1 邓小平|邓
1 江泽民|江
1 胡锦涛|胡
1 吴邦国|吴
1 温家宝|温
1 贾庆林|贾
1 曾庆红|曾
1 黄菊|黄
1 吴官正|吴
1 李长春|李
1 罗干|罗
1 王乐泉|王
1 张德江|张
1 李鹏|李
1 朱镕基|朱
1 李瑞环|李
1 尉健行|尉
1 李岚清|李
1 李洪志|李
1 李登辉|李
1 小泉|小
1 萨达姆|萨
1 拉登|拉
1 法轮|法
1 法轮功|法
1 法轮大法|法
1 台独|台
1 台湾独立|台
1 恐怖主义|恐
1 钓鱼岛|钓
1 共产党|共
1 人事部|人
1 人体炸弹|人
1 日本|日
1 日本RING|日
1 日本鬼子|日
1 日你|日
1 日乃|日
1 日汝|日
1 日他|日
1 日她|日
1 日它|日
1 日逼|日
1 我日|我
1 你日|你
1 他日|他
1 她日|她
1 它日|它
1 食捻屎|食
1 食屎|食
1 ㄐ八|ㄐ
1 ㄐ巴|ㄐ
1 ㄐ掰|ㄐ
1 ㄙㄞ你爸|ㄙ
1 ㄙㄞ你公|ㄙ
1 ㄙㄞ你老母|ㄙ
1 ㄙㄞ你老师|ㄙ
1 ㄙㄞ你母|ㄙ
1 ㄙㄞ你娘|ㄙ
1 阿扁|阿
1 阿拉|阿
1 阿拉法特|阿
1 爱滋|爱
1 安非他命|安
1 安拉|安
1 安理会|安
1 安眠酮|安
1 安南|安
1 安全部|安
1 安全监管|安
1 安全理事会|安
